participant_id,session_id,registration_date,university_name_proper,major_category,course
46,10,2024-12-24 12:26:00.091,Baku Higher Oil School,STEM,Foundation
47,9,2024-10-04 21:09:59.339,Azerbaijan State University of Economics (UNEC),STEM,1
48,4,2023-12-05 15:37:09.616,Baku Higher Oil School,STEM,Foundation
49,5,2023-12-26 18:24:37.050,Baku Higher Oil School,STEM,2
50,9,2024-10-03 14:18:02.992,Baku Higher Oil School,STEM,3
51,1,2023-10-14 20:51:58.676,Baku Higher Oil School,STEM,3
52,11,2025-01-27 22:21:32.378,Azerbaijan State University of Economics (UNEC),Business & Economics,4
53,3,2023-11-19 15:05:07.124,Baku Higher Oil School,STEM,Foundation
54,5,2023-12-26 15:33:38.772,Baku Higher Oil School,STEM,Foundation
55,9,2024-10-04 09:48:13.201,Baku Higher Oil School,STEM,2
56,2,2023-11-01 19:05:04.073,Baku Higher Oil School,STEM,Foundation
56,3,2023-11-19 16:24:01.848,Baku Higher Oil School,STEM,Foundation
56,4,2023-12-05 14:47:39.503,Baku Higher Oil School,STEM,Foundation
56,8,2024-06-02 23:36:58.396,Baku Higher Oil School,STEM,Foundation
57,10,2024-12-25 00:01:46.576,Baku Higher Oil School,STEM,Foundation
58,9,2024-10-03 14:16:51.385,Baku Higher Oil School,STEM,Foundation
59,4,2023-12-05 15:48:02.090,Baku Higher Oil School,Business & Economics,Foundation
60,6,2024-02-09 20:28:07.754,Baku Higher Oil School,Business & Economics,Foundation
61,8,2024-05-31 11:30:40.419,Baku Higher Oil School,Business & Economics,Foundation
61,9,2024-10-03 10:05:25.340,Baku Higher Oil School,Business & Economics,2
61,11,2025-01-27 22:14:46.910,Baku Higher Oil School,Business & Economics,2
62,1,2023-10-14 19:21:44.151,Baku Higher Oil School,Business & Economics,Foundation
62,2,2023-11-01 19:05:16.573,Baku Higher Oil School,Business & Economics,Foundation
62,3,2023-11-19 19:15:23.387,Baku Higher Oil School,Business & Economics,Foundation
62,4,2023-12-05 14:05:19.447,Baku Higher Oil School,Business & Economics,Foundation
62,5,2023-12-26 15:34:47.349,Baku Higher Oil School,Business & Economics,Foundation
63,12,2025-03-12 15:15:43.403,Baku Higher Oil School,STEM,Foundation
64,1,2023-10-15 22:54:58.775,Baku Higher Oil School,STEM,Foundation
64,2,2023-11-01 19:02:22.500,Baku Higher Oil School,STEM,Foundation
64,4,2023-12-06 15:42:24.141,Baku Higher Oil School,STEM,Foundation
64,9,2024-10-03 10:04:53.902,Baku Higher Oil School,STEM,2
65,10,2024-12-25 13:40:09.620,Baku Higher Oil School,STEM,Foundation
66,9,2024-10-03 17:26:10.386,Baku Higher Oil School,STEM,Foundation
67,11,2025-01-27 18:28:45.645,Baku Higher Oil School,STEM,1
68,8,2024-06-03 14:53:29.522,Baku Higher Oil School,STEM,Foundation
69,6,2024-02-13 19:31:17.178,ADA University,STEM,1
70,5,2023-12-28 23:23:59.175,ADA University,STEM,1
71,8,2024-05-31 20:35:04.551,ADA University,STEM,1
72,3,2023-11-21 15:24:42.212,Baku Higher Oil School,STEM,Foundation
73,2,2023-11-02 15:25:23.880,Baku Higher Oil School,STEM,Foundation
74,2,2023-11-01 21:56:30.569,Baku Higher Oil School,STEM,4
75,1,2023-10-16 18:21:23.990,Baku Higher Oil School,STEM,Foundation
75,2,2023-11-02 15:33:52.898,Baku Higher Oil School,STEM,Foundation
75,3,2023-11-19 15:07:34.339,Baku Higher Oil School,STEM,Foundation
75,4,2023-12-05 14:03:08.715,Baku Higher Oil School,STEM,Foundation
75,8,2024-05-30 21:47:57.218,Baku Higher Oil School,STEM,Foundation
75,11,2025-01-29 14:47:40.418,Baku Higher Oil School,STEM,1
76,11,2025-01-28 13:43:58.789,National Aviation Academy,"Arts, Humanities & Social Sciences",1
77,5,2023-12-26 18:13:29.385,Baku Higher Oil School,STEM,Foundation
78,3,2023-11-19 15:21:01.140,Baku Higher Oil School,STEM,Foundation
79,6,2024-02-09 19:02:02.519,Baku Higher Oil School,STEM,Foundation
79,10,2024-12-24 13:06:35.142,Baku Higher Oil School,STEM,1
80,9,2024-10-03 10:22:56.786,Baku Higher Oil School,STEM,2
81,4,2023-12-07 14:27:50.261,Baku Higher Oil School,Business & Economics,Foundation
82,4,2023-12-07 15:54:04.533,Baku Higher Oil School,Business & Economics,Foundation
82,5,2023-12-26 15:33:36.648,Baku Higher Oil School,Business & Economics,Foundation
83,11,2025-01-29 23:12:13.294,French-Azerbaijani University,STEM,3
84,6,2024-02-13 20:11:32.033,French-Azerbaijani University,STEM,2
85,6,2024-02-11 00:29:44.653,French-Azerbaijani University,STEM,2
86,13,2025-05-18 23:41:30.973,French-Azerbaijani University,STEM,3
87,8,2024-05-31 14:07:54.747,French-Azerbaijani University,STEM,2
88,8,2024-06-04 13:27:59.913,Baku Higher Oil School,Business & Economics,Foundation
89,2,2023-11-01 19:40:10.144,Baku Higher Oil School,Business & Economics,Foundation
89,4,2023-12-05 14:04:14.614,Baku Higher Oil School,Business & Economics,Foundation
89,5,2023-12-26 15:32:47.262,Baku Higher Oil School,Business & Economics,Foundation
90,3,2023-11-19 19:31:04.326,National Aviation Academy,STEM,2
91,9,2024-10-03 10:27:19.612,Baku Higher Oil School,STEM,Foundation
91,11,2025-01-27 20:39:28.610,Baku Higher Oil School,STEM,Foundation
92,12,2025-03-12 16:25:32.183,Baku Higher Oil School,STEM,Foundation
93,10,2024-12-24 12:18:21.638,Baku Higher Oil School,STEM,Foundation
94,10,2024-12-24 14:01:42.530,Baku Higher Oil School,STEM,Foundation
95,11,2025-01-27 18:50:36.433,Baku Higher Oil School,STEM,Foundation
95,12,2025-03-13 15:28:42.273,Baku Higher Oil School,STEM,Foundation
96,13,2025-05-19 18:15:55.238,Baku Higher Oil School,STEM,2
97,1,2023-10-15 11:21:46.006,Baku Higher Oil School,STEM,Foundation
98,2,2023-11-01 19:03:29.188,Baku Higher Oil School,STEM,Foundation
99,3,2023-11-19 15:57:22.565,Baku Higher Oil School,STEM,Foundation
99,4,2023-12-05 17:49:02.013,Baku Higher Oil School,STEM,Foundation
99,8,2024-06-05 12:25:54.827,Baku Higher Oil School,STEM,Foundation
100,10,2024-12-24 13:22:23.686,Baku Higher Oil School,STEM,Foundation
100,12,2025-03-12 15:13:01.801,Baku Higher Oil School,STEM,Foundation
101,9,2024-10-03 09:51:58.044,Baku Higher Oil School,STEM,Foundation
102,9,2024-10-03 01:20:21.224,Baku Higher Oil School,STEM,Foundation
102,13,2025-05-18 15:41:55.613,Baku Higher Oil School,STEM,Foundation
103,13,2025-05-18 23:36:41.332,Baku Higher Oil School,STEM,3
104,2,2023-11-02 15:44:29.055,Baku Higher Oil School,STEM,Foundation
104,4,2023-12-05 14:43:09.073,Baku Higher Oil School,STEM,Foundation
104,9,2024-10-03 09:58:32.280,Baku Higher Oil School,STEM,2
104,10,2024-12-26 18:21:33.397,Baku Higher Oil School,STEM,1
105,2,2023-11-01 19:02:57.907,Baku Higher Oil School,STEM,Foundation
105,5,2023-12-27 20:51:17.956,Baku Higher Oil School,STEM,Foundation
106,1,2023-10-14 18:38:30.171,Baku Higher Oil School,STEM,Foundation
106,3,2023-11-19 15:16:06.327,Baku Higher Oil School,STEM,Foundation
106,7,2024-03-02 20:27:51.389,Baku Higher Oil School,STEM,Foundation
106,8,2024-05-31 22:48:19.686,Baku Higher Oil School,STEM,Foundation
107,4,2023-12-05 22:08:38.573,Baku Higher Oil School,STEM,Foundation
108,2,2023-11-01 21:56:20.727,Baku Higher Oil School,STEM,4
109,12,2025-03-12 16:27:41.261,Baku Higher Oil School,STEM,Foundation
109,13,2025-05-19 19:01:53.918,Baku Higher Oil School,STEM,Foundation
110,12,2025-03-12 15:29:52.605,Baku Higher Oil School,STEM,3
111,1,2023-10-14 19:16:29.175,Baku Higher Oil School,STEM,1
112,3,2023-11-19 16:36:49.931,French-Azerbaijani University,STEM,1
113,10,2024-12-24 22:25:16.272,Baku Higher Oil School,STEM,Foundation
113,12,2025-03-13 18:09:43.751,Baku Higher Oil School,STEM,Foundation
114,11,2025-01-27 18:45:35.259,Baku Higher Oil School,STEM,Foundation
115,2,2023-11-01 21:24:13.386,Baku Higher Oil School,STEM,1
116,9,2024-10-03 10:12:11.104,Baku Higher Oil School,STEM,3
117,10,2024-12-24 12:26:18.107,Academy of Public Administration under the President of the Republic of Azerbaijan,"Arts, Humanities & Social Sciences",2
118,9,2024-10-03 06:44:10.879,Baku Higher Oil School,STEM,2
118,10,2024-12-24 12:20:07.659,Baku Higher Oil School,STEM,1
118,11,2025-01-29 12:49:57.678,Baku Higher Oil School,STEM,1
119,10,2024-12-24 23:02:06.761,Azerbaijan Medical University,Health & Medical,2
120,2,2023-11-02 15:30:55.230,Baku Higher Oil School,STEM,Foundation
121,3,2023-11-20 12:26:27.190,Baku Higher Oil School,STEM,Foundation
122,4,2023-12-05 15:12:16.893,Baku Higher Oil School,STEM,Foundation
123,10,2024-12-24 12:19:06.473,Baku Higher Oil School,STEM,Foundation
124,9,2024-10-03 15:06:07.227,Baku Higher Oil School,STEM,Foundation
125,9,2024-10-03 15:01:21.706,Baku Higher Oil School,STEM,Foundation
125,11,2025-01-27 18:28:38.912,Baku Higher Oil School,STEM,Foundation
125,12,2025-03-12 15:11:31.573,Baku Higher Oil School,STEM,Foundation
125,13,2025-05-19 17:32:56.856,Baku Higher Oil School,STEM,Foundation
126,10,2024-12-24 22:15:41.838,Azerbaijan Medical University,Health & Medical,1
127,1,2023-10-16 20:18:32.852,Baku Higher Oil School,STEM,Foundation
128,3,2023-11-20 21:28:22.261,Baku Higher Oil School,Business & Economics,2
129,9,2024-10-03 10:15:33.734,Baku Higher Oil School,STEM,4
130,9,2024-10-04 16:45:38.422,Baku Higher Oil School,STEM,Foundation
130,10,2024-12-24 13:58:03.336,Baku Higher Oil School,STEM,Foundation
131,5,2023-12-28 20:04:03.869,Baku Higher Oil School,STEM,Foundation
132,1,2023-10-14 19:03:02.569,Baku Higher Oil School,STEM,Foundation
133,3,2023-11-19 15:27:26.648,Baku Higher Oil School,STEM,Foundation
134,8,2024-06-05 23:28:57.883,Baku Higher Oil School,STEM,Foundation
134,9,2024-10-03 00:21:36.072,Baku Higher Oil School,STEM,2
134,10,2024-12-24 12:22:54.097,Baku Higher Oil School,STEM,1
134,13,2025-05-19 18:01:57.131,Baku Higher Oil School,STEM,2
135,3,2023-11-19 17:42:16.071,Baku Higher Oil School,STEM,Foundation
136,12,2025-03-12 15:12:21.453,Baku Higher Oil School,STEM,1
137,8,2024-05-31 17:29:39.913,Baku Higher Oil School,STEM,Foundation
138,1,2023-10-16 00:32:12.708,Baku Higher Oil School,STEM,Foundation
139,13,2025-05-19 17:44:52.139,Baku Higher Oil School,STEM,2
140,1,2023-10-16 20:31:42.965,Baku Higher Oil School,STEM,Foundation
141,11,2025-01-30 00:35:12.875,Academy of Public Administration under the President of the Republic of Azerbaijan,"Arts, Humanities & Social Sciences",1
142,10,2024-12-24 12:33:18.179,Baku Higher Oil School,STEM,Foundation
142,13,2025-05-19 09:04:03.469,Baku Higher Oil School,STEM,Foundation
143,11,2025-01-27 22:02:34.879,Baku Higher Oil School,STEM,Foundation
144,12,2025-03-12 15:13:13.610,Baku Higher Oil School,STEM,Foundation
145,2,2023-11-03 19:30:00.369,Baku Higher Oil School,STEM,Foundation
145,3,2023-11-21 15:11:27.205,Baku Higher Oil School,STEM,Foundation
145,4,2023-12-07 15:30:24.637,Baku Higher Oil School,STEM,Foundation
145,5,2023-12-26 15:35:02.219,Baku Higher Oil School,STEM,Foundation
145,6,2024-02-15 00:51:59.511,Baku Higher Oil School,STEM,Foundation
145,7,2024-03-02 18:37:00.492,Baku Higher Oil School,STEM,Foundation
145,8,2024-05-30 21:19:47.794,Baku Higher Oil School,STEM,Foundation
145,9,2024-10-03 01:38:41.776,Baku Higher Oil School,STEM,2
146,11,2025-01-27 19:54:13.631,Baku Higher Oil School,STEM,Foundation
146,12,2025-03-13 23:59:34.632,Baku Higher Oil School,STEM,Foundation
147,12,2025-03-12 15:13:56.078,Baku Higher Oil School,STEM,Foundation
148,11,2025-01-30 02:26:14.349,Baku Higher Oil School,STEM,4
149,9,2024-10-04 09:20:42.871,Baku Higher Oil School,STEM,5
150,2,2023-11-03 08:10:36.966,Baku Higher Oil School,STEM,Foundation
151,1,2023-10-15 22:25:22.953,Baku Higher Oil School,STEM,Foundation
151,6,2024-02-09 20:41:10.243,Baku Higher Oil School,STEM,Foundation
152,10,2024-12-24 12:27:02.700,Azerbaijan University of Languages,"Arts, Humanities & Social Sciences",2
153,10,2024-12-24 15:18:33.478,Azerbaijan University of Languages,"Arts, Humanities & Social Sciences",2
154,13,2025-05-18 16:14:22.688,Baku Higher Oil School,STEM,Foundation
155,12,2025-03-12 15:27:37.047,Baku Higher Oil School,STEM,Foundation
156,4,2023-12-07 03:01:13.537,Azerbaijan State University of Economics (UNEC),Business & Economics,2
157,13,2025-05-19 17:52:37.120,Baku Higher Oil School,Business & Economics,Foundation
158,13,2025-05-18 17:26:18.250,Baku Higher Oil School,STEM,Foundation
159,1,2023-10-14 18:40:39.672,Baku Higher Oil School,STEM,Foundation
159,6,2024-02-09 19:03:38.870,Baku Higher Oil School,STEM,Foundation
160,3,2023-11-19 15:23:45.755,Baku Higher Oil School,STEM,Foundation
160,11,2025-01-27 19:07:55.777,Baku Higher Oil School,STEM,1
161,9,2024-10-03 17:57:09.487,Baku Higher Oil School,STEM,Foundation
162,12,2025-03-12 15:11:27.206,Baku Higher Oil School,STEM,Foundation
163,4,2023-12-05 15:36:54.418,Academy of Public Administration under the President of the Republic of Azerbaijan,"Arts, Humanities & Social Sciences",2
164,1,2023-10-15 13:46:45.160,Baku Higher Oil School,STEM,Foundation
165,12,2025-03-13 22:49:48.116,Azerbaijan State University of Culture and Arts,Business & Economics,1
166,12,2025-03-12 16:36:04.667,Baku Higher Oil School,STEM,Foundation
167,11,2025-01-27 18:39:31.319,Baku Higher Oil School,STEM,Foundation
168,8,2024-06-02 01:17:06.547,Baku State University,"Arts, Humanities & Social Sciences",1
169,10,2024-12-24 14:41:37.968,Baku Higher Oil School,STEM,Foundation
170,4,2023-12-05 14:03:58.018,Baku Higher Oil School,STEM,Foundation
170,5,2023-12-26 15:33:00.135,Baku Higher Oil School,STEM,Foundation
170,7,2024-03-02 18:35:51.425,Baku Higher Oil School,STEM,Foundation
170,9,2024-10-03 13:01:34.515,Baku Higher Oil School,STEM,2
171,1,2023-10-14 18:56:52.484,Baku Higher Oil School,STEM,Foundation
171,2,2023-11-01 19:04:20.349,Baku Higher Oil School,STEM,Foundation
171,3,2023-11-19 19:08:39.955,Baku Higher Oil School,STEM,Foundation
171,6,2024-02-10 01:27:23.070,Baku Higher Oil School,STEM,Foundation
171,11,2025-01-28 10:31:39.207,Baku Higher Oil School,STEM,1
172,11,2025-01-27 22:24:55.496,Baku State University,"Arts, Humanities & Social Sciences",1
173,3,2023-11-20 15:08:38.716,Baku Higher Oil School,STEM,Foundation
174,1,2023-10-15 20:24:36.696,Baku Higher Oil School,STEM,Foundation
174,2,2023-11-02 01:08:10.584,Baku Higher Oil School,STEM,Foundation
174,6,2024-02-09 21:53:08.067,Baku Higher Oil School,STEM,Foundation
175,3,2023-11-19 18:06:55.499,Baku Higher Oil School,STEM,Foundation
176,6,2024-02-09 19:02:32.296,Azerbaijan State University of Economics (UNEC),STEM,1
177,1,2023-10-15 22:32:29.475,Baku Higher Oil School,STEM,Foundation
178,4,2023-12-05 21:51:29.873,Baku Higher Oil School,STEM,Foundation
179,5,2023-12-26 16:13:27.103,French-Azerbaijani University,STEM,2
180,5,2023-12-26 12:02:44.171,French-Azerbaijani University,STEM,2
180,8,2024-06-01 20:43:00.852,French-Azerbaijani University,STEM,2
181,12,2025-03-13 22:32:58.202,Baku Higher Oil School,STEM,Foundation
182,11,2025-01-27 23:41:40.580,Baku Higher Oil School,STEM,1
182,12,2025-03-12 21:59:03.376,Baku Higher Oil School,STEM,1
182,13,2025-05-19 22:57:43.441,Baku Higher Oil School,STEM,2
183,6,2024-02-09 19:14:21.019,Azerbaijan State University of Economics (UNEC),STEM,2
183,11,2025-01-27 20:46:40.013,Azerbaijan State University of Economics (UNEC),STEM,3
184,11,2025-01-29 17:38:08.851,Turkey-Azerbaijan University,STEM,Foundation
185,2,2023-11-01 19:28:19.209,Baku Higher Oil School,STEM,Foundation
186,4,2023-12-05 17:18:29.106,Baku Higher Oil School,STEM,Foundation
187,3,2023-11-19 15:04:36.823,Baku Higher Oil School,STEM,Foundation
188,11,2025-01-27 18:48:04.915,Baku Higher Oil School,Business & Economics,3
189,1,2023-10-14 23:48:44.998,Baku Higher Oil School,Business & Economics,Foundation
190,4,2023-12-07 00:10:45.981,Azerbaijan University of Architecture and Construction,"Arts, Humanities & Social Sciences",1
191,1,2023-10-14 19:00:49.727,Baku Higher Oil School,STEM,1
191,6,2024-02-12 21:28:31.137,Baku Higher Oil School,STEM,2
191,7,2024-03-05 13:45:34.539,Baku Higher Oil School,STEM,2
192,1,2023-10-14 18:35:12.624,Baku Higher Oil School,Business & Economics,1
193,12,2025-03-12 19:22:27.437,Azerbaijan University of Languages,"Arts, Humanities & Social Sciences",1
194,11,2025-01-28 11:31:07.392,Baku Higher Oil School,STEM,Foundation
195,9,2024-10-03 17:59:49.102,Baku Higher Oil School,STEM,Foundation
196,12,2025-03-12 15:44:03.864,Baku Higher Oil School,STEM,Foundation
196,13,2025-05-18 18:05:49.472,Baku Higher Oil School,STEM,Foundation
197,3,2023-11-19 16:02:25.441,Baku Higher Oil School,Business & Economics,Foundation
198,1,2023-10-14 19:57:01.445,Baku Higher Oil School,Business & Economics,Foundation
199,11,2025-01-27 23:32:18.906,Azerbaijan State University of Economics (UNEC),Business & Economics,3
200,4,2023-12-05 19:26:24.623,National Aviation Academy,STEM,1
201,2,2023-11-02 19:46:27.468,Baku Higher Oil School,STEM,Foundation
202,4,2023-12-05 16:03:52.300,Baku Higher Oil School,STEM,3
203,13,2025-05-19 18:34:57.631,Baku Higher Oil School,STEM,Foundation
204,10,2024-12-24 12:26:30.901,Baku Higher Oil School,STEM,Foundation
204,12,2025-03-12 15:13:21.334,Baku Higher Oil School,STEM,Foundation
205,11,2025-01-31 15:37:31.395,ADA University,STEM,1
206,3,2023-11-19 17:46:04.272,Azerbaijan University of Architecture and Construction,Business & Economics,2
207,12,2025-03-12 17:49:25.738,Baku State University,"Arts, Humanities & Social Sciences",4
208,11,2025-01-27 18:40:03.782,Baku Higher Oil School,STEM,2
209,13,2025-05-18 13:35:40.700,Baku Higher Oil School,STEM,3
210,11,2025-01-27 20:07:10.496,Azerbaijan Technical University,Business & Economics,1
211,11,2025-01-28 23:25:15.986,Azerbaijan State University of Economics (UNEC),Business & Economics,3
212,1,2023-10-15 22:08:03.635,Baku Higher Oil School,Business & Economics,1
213,6,2024-02-09 21:47:19.251,Baku Higher Oil School,STEM,3
214,1,2023-10-14 19:51:18.475,Baku Higher Oil School,STEM,3
215,2,2023-11-03 10:21:06.628,Baku Higher Oil School,STEM,2
216,6,2024-02-12 20:21:33.712,ADA University,STEM,1
217,13,2025-05-20 00:14:36.546,Baku State University,Business & Economics,4
218,8,2024-05-31 18:12:01.691,Baku Higher Oil School,Business & Economics,Foundation
219,6,2024-02-09 19:41:45.261,Baku Higher Oil School,Business & Economics,Foundation
220,1,2023-10-14 19:04:42.639,Baku Higher Oil School,Business & Economics,Foundation
220,2,2023-11-01 19:13:01.808,Baku Higher Oil School,Business & Economics,Foundation
221,3,2023-11-19 15:03:27.089,Baku Higher Oil School,Business & Economics,Foundation
221,4,2023-12-05 16:31:44.299,Baku Higher Oil School,Business & Economics,Foundation
221,5,2023-12-26 18:06:41.705,Baku Higher Oil School,Business & Economics,Foundation
221,11,2025-01-27 20:10:43.055,Baku Higher Oil School,Business & Economics,1
222,13,2025-05-20 02:37:25.017,Baku Higher Oil School,STEM,Foundation
223,12,2025-03-12 17:04:39.480,Baku Higher Oil School,STEM,Foundation
224,7,2024-03-02 18:51:46.743,Baku Engineering University,STEM,1
225,10,2024-12-24 14:32:31.839,Baku State University,STEM,2
226,9,2024-10-04 10:01:48.672,Baku State University,STEM,2
227,7,2024-03-05 20:22:47.258,Baku State University,STEM,1
228,4,2023-12-05 16:38:56.597,Baku Higher Oil School,STEM,Foundation
229,1,2023-10-16 20:28:21.553,Baku Higher Oil School,STEM,Foundation
229,2,2023-11-01 20:53:51.185,Baku Higher Oil School,STEM,Foundation
230,11,2025-01-28 10:37:40.798,Baku Higher Oil School,STEM,1
231,6,2024-02-12 18:09:39.633,Azerbaijan Technical University,STEM,1
232,5,2023-12-28 17:21:50.964,Baku Higher Oil School,STEM,Foundation
233,8,2024-06-04 20:22:02.994,ADA University,Business & Economics,1
233,11,2025-01-28 19:22:29.957,ADA University,Business & Economics,1
234,11,2025-01-27 22:40:57.229,Baku Higher Oil School,STEM,Foundation
234,12,2025-03-12 16:27:25.492,Baku Higher Oil School,STEM,Foundation
235,7,2024-03-06 15:26:45.798,Baku Higher Oil School,STEM,Foundation
235,10,2024-12-24 21:13:33.286,Baku Higher Oil School,STEM,1
236,12,2025-03-13 01:35:28.167,Baku Higher Oil School,STEM,3
237,4,2023-12-07 15:08:02.486,Baku Higher Oil School,STEM,Foundation
237,5,2023-12-26 15:43:13.052,Baku Higher Oil School,STEM,Foundation
237,6,2024-02-14 16:13:58.401,Baku Higher Oil School,STEM,Foundation
238,3,2023-11-19 17:09:49.919,ADA University,STEM,1
239,5,2023-12-27 20:57:10.427,ADA University,STEM,1
240,9,2024-10-03 10:24:46.595,Baku Higher Oil School,STEM,Foundation
241,11,2025-01-27 18:35:37.130,Baku Higher Oil School,STEM,Foundation
242,10,2024-12-24 12:21:23.011,Baku Higher Oil School,STEM,Foundation
242,11,2025-01-27 18:29:41.073,Baku Higher Oil School,STEM,Foundation
242,12,2025-03-12 15:15:48.936,Baku Higher Oil School,STEM,Foundation
243,1,2023-10-14 19:08:18.762,Baku Higher Oil School,STEM,Foundation
244,5,2023-12-26 22:48:48.158,Azerbaijan Medical University,Health & Medical,1
245,8,2024-06-02 23:37:12.917,Baku Higher Oil School,Business & Economics,Foundation
245,9,2024-10-04 09:46:18.115,Baku Higher Oil School,Business & Economics,2
246,3,2023-11-21 23:29:58.863,French-Azerbaijani University,STEM,Foundation
247,3,2023-11-19 15:02:05.000,Baku Higher Oil School,STEM,Foundation
247,4,2023-12-05 14:14:37.327,Baku Higher Oil School,STEM,Foundation
